"action","old_path","new_path","sha256","bytes","reason"
"moved","trixig redesign/trixig_print/for_bambu/direction_switch.stl","cad/print/trixig_redesign/for_bambu/direction_switch.stl","6d3b8f4b0a6e0ea5bfb843de515c44c80af5e8b62088bc9dbfa7099c381764d7","3284","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/housing_top_grip.stl","cad/print/trixig_redesign/for_bambu/housing_top_grip.stl","4fea5e6a3ec5f5474a26d858bc77b6d7bd3ab864ea02d988683fdc648602b248","84","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/motor_gear_module.stl","cad/print/trixig_redesign/for_bambu/motor_gear_module.stl","f783ef01c2f7d72df699359fc04f36e9446c2e0100d9226786176cabc875c9bc","93684","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/shaft_collar_assy.stl","cad/print/trixig_redesign/for_bambu/shaft_collar_assy.stl","c6b450572b180d4e555b7e1bee4f93d305d0e1a6149daec94a9f7418276b7132","103284","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/housing_bottom_tip.stl","cad/print/trixig_redesign/for_bambu/housing_bottom_tip.stl","df77b2f9f842d0352f484b879ede820156d45349bdc72b2446b8393801978149","53284","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/housing_bottom_grip.stl","cad/print/trixig_redesign/for_bambu/housing_bottom_grip.stl","353246c499c4e9cddc806eccad90f5ee5c7e05239c2ee9046918f1ba521c25d1","313634","move_print_asset"
"moved","trixig/trixig.usdz","cad/models/trixig.usdz","0e34d2d08e6f1ff8c760c174846ce4e40599d853778b446f22b425a2189b2e1b","2734639","move_cad_model"
"moved","trixig/drill-ord-for-ord.pdf","docs/reports/drill_ord_for_ord.pdf","fd9324ec3653a069f97663709a094c934438be2824e46dd98c85d5c660fedc38","73951","move_report"
"deleted_exact_duplicate","trixig/Trixig demontert.jpeg","assets/finished_graphics/teardown/trixig_demontert.jpeg","5387da0196f0b96a68fa2eda1dc2fc06ca64565ac6816de37dc77edb5fc47847","1194820","exact_duplicate_of:assets/finished_graphics/teardown/trixig_demontert.jpeg"
"moved","trixig/drill-ord-for-ord.docx","docs/reports/drill_ord_for_ord.docx","7f00ac9e36cb065ca1fe98051e999353bbd13cc5486c8237649343603d2b3e10","15366","move_report"
"moved","trixig/Trixig demontert 2.jpeg","assets/reference/teardown/teardown_002.jpeg","b152a4309fd4f02d0f9ad202beb879b6187431902937fac25fa74be57b129422","1027703","move_teardown_reference"
"moved","trixig/personleg-debrief-trixig.docx","docs/reports/personleg_debrief_trixig.docx","547f8809821715aa2fe0d789b1d02694325fcf2187111eaead9eaee9f78852fb","2506493","move_report"
"deleted_exact_duplicate","trixig/Trixig batteriinnfesting.jpeg","assets/finished_graphics/teardown/trixig_batteriinnfesting.jpeg","b90cec5e83b9cd60737765ef5959c866a72e60ada667356697e52cfdfebd6afc","1261670","exact_duplicate_of:assets/finished_graphics/teardown/trixig_batteriinnfesting.jpeg"
"deleted_exact_duplicate","trixig/Trixig demontert perspektiv.jpeg","assets/finished_graphics/teardown/trixig_demontert_perspektiv.jpeg","f5d8766ed657d7ada09ac617e385e37b9d359eee57584cb07e6dbf2973280553","1174387","exact_duplicate_of:assets/finished_graphics/teardown/trixig_demontert_perspektiv.jpeg"
"deleted_exact_duplicate","trixig/Trixig demontert perspektiv 2.jpeg","assets/finished_graphics/teardown/trixig_demontert_perspektiv_2.jpeg","b46c35b3d9a1d0a5e6d179b26d0bb47d9ed0773fb957d50f16bfb8bd11b7ad27","1067069","exact_duplicate_of:assets/finished_graphics/teardown/trixig_demontert_perspektiv_2.jpeg"
"moved","TRIXIG_moodboard.html","docs/project/trixig_moodboard.html","2097f4139b66ce335deab81b9cd2221765b1335d60f5c53bb28854f885f47f0e","35857","move_project_writing_corrected"
"moved","notat/image-asset.webp","assets/reference/inspiration/notat_image_asset.webp","570fba1fd819631df35d31e13b5e91544f6b44e87fe8d6f3d4f0c3164b47a7af","12738","move_project_writing_corrected"
"moved","TRIXIG_konseptsprang.md","docs/project/trixig_konseptsprang.md","dbfdb2e93a9438164e108c05eb43b753a383afb497516782ecb2b01352ce7442","13247","move_project_writing_corrected"
"moved","TRIXIG_inspirasjon_referansar.md","docs/project/trixig_inspirasjon_referansar.md","70725f1d03eb02ee34c4e1f8c4c01e4aaea150bbb8c9637f5126e8df90251b9c","11398","move_project_writing_corrected"
